,dummy_teams,dummy_coaches,scale,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,acc_train,ci_train,acc_test,ci_test,time
0,False,False,std,50,2,1,,300,entropy,99.98969868658254,0.028601031215015997,83.2513404185291,1.552294370971385,180.47
1,False,False,std,50,4,1,,300,entropy,99.98969868658254,0.028601031215015997,83.00393897246965,0.909906435722714,176.07
2,False,False,std,50,8,1,,300,entropy,99.79913234508976,0.09959870649028701,83.91053967107987,1.698722494833864,176.78
3,False,False,std,50,16,1,,300,entropy,98.85661786450378,0.11204609319992875,82.83899051886141,1.0062489371443524,174.41
4,False,False,std,50,2,2,,300,entropy,99.85063625993364,0.06151654887950983,83.04517608587172,1.4142607955549673,175.73
5,False,False,std,50,4,2,,300,entropy,99.83518428980744,0.07362499356831109,83.12765031267585,1.4747198595511053,175.1
6,False,False,std,50,8,2,,300,entropy,99.42316225390827,0.11433269380007849,83.78682833087369,1.2521131696963952,173.99
7,False,False,std,50,16,2,,300,entropy,98.21796560729877,0.16827537668459255,82.8184356652192,1.227495315482085,174.14
8,False,False,std,50,2,3,,300,entropy,99.17593471025434,0.18231821494018882,83.1277352500876,1.5489995745301646,169.69
9,False,False,std,50,4,3,,300,entropy,99.14503474836708,0.10460347740306244,83.08645566797966,1.350086151266188,170.53
10,False,False,std,50,8,3,,300,entropy,98.74329811242488,0.13272239941908975,83.31298374510283,1.217008747047859,168.5
11,False,False,std,50,16,3,,300,entropy,97.38360563474419,0.3807190852998135,82.77721978617008,1.2671284517763803,169.1
12,False,False,std,50,2,4,,300,entropy,98.15616700964596,0.34328171213804276,81.93268710119231,1.1093738041352132,166.52
13,False,False,std,50,4,4,,300,entropy,98.18190305360741,0.18467727945048423,82.5096669391742,1.3786865885637605,163.36
14,False,False,std,50,8,4,,300,entropy,98.25917483933372,0.17145514311734955,81.99458524000127,1.6217276474289029,162.78
15,False,False,std,50,16,4,,300,entropy,96.80674932294856,0.412727011925897,81.62372726597089,1.7603657378398028,161.57
16,False,False,std,50,2,5,,300,entropy,97.09002615907679,0.23175824798151753,81.56182912716193,2.226098901322773,157.71
17,False,False,std,50,4,5,,300,entropy,97.14668603511623,0.2581394905629256,81.66483697325533,1.4833419134539747,158.49
18,False,False,std,50,8,5,,300,entropy,97.09518212027236,0.11154221499349075,81.52054954505398,1.4727832064826547,154.76
19,False,False,std,50,16,5,,300,entropy,95.99813998169421,0.5449095390000529,81.33549215921518,2.0549550264419025,154.67
20,False,False,std,50,2,6,,300,entropy,96.0136091914026,0.27786112290226517,81.06757832821941,1.7276439732300253,148.14
21,False,False,std,50,4,6,,300,entropy,95.70455785378341,0.7005324524497406,80.67622920360559,2.059183497143702,149.49
22,False,False,std,50,8,6,,300,entropy,95.77668163504441,0.3666313439698526,80.28468896981536,2.206221624918343,147.65
23,False,False,std,50,16,6,,300,entropy,95.09682545029126,0.5373023024106239,80.16106256702092,1.7843863465020438,150.23
24,False,False,std,50,2,1,,500,entropy,99.99484934329128,0.014300515607507999,83.5808338730398,1.7500449352064513,177.5
25,False,False,std,50,4,1,,500,entropy,99.9794000254085,0.026747911109162664,83.47776232388759,0.7725653244405463,177.75
26,False,False,std,50,8,1,,500,entropy,99.76307509588523,0.10702805235730503,83.08641319927379,1.2104739596523282,175.58
27,False,False,std,50,16,1,,500,entropy,98.83086723320353,0.31374957187263464,82.59182265068428,1.0538699722079972,174.09
28,False,False,std,50,2,2,,500,entropy,99.84033362039447,0.06151911580895794,83.31298374510283,0.9533057323611013,172.9
29,False,False,std,50,4,2,,500,entropy,99.8609362472294,0.09212977186493454,83.14805652584751,0.5757363971894288,174.48
30,False,False,std,50,8,2,,500,entropy,99.39739438302584,0.15105584413244744,83.0040239098814,1.2486300862986748,174.23
31,False,False,std,50,16,2,,500,entropy,98.34671345931312,0.23445684629827226,82.96280803083228,1.354410656076556,170.47
32,False,False,std,50,2,3,,500,entropy,99.21198532885035,0.1510466280424791,83.27195897523013,1.8763681786109778,171.05
33,False,False,std,50,4,3,,500,entropy,99.21713465943735,0.1716500844008178,82.57131026574794,1.135086783955665,170.87
34,False,False,std,50,8,3,,500,entropy,98.87721518685188,0.12909239465913736,83.2718315691125,1.0978337375877198,167.9
35,False,False,std,50,16,3,,500,entropy,97.53810809642388,0.4514783400766036,82.22104961406563,0.871980749965917,168.46
36,False,False,std,50,2,4,,500,entropy,98.26432416992074,0.13283875214497282,82.38606177073271,2.011808869591799,159.39
37,False,False,std,50,4,4,,500,entropy,98.29521617507778,0.07651781662375912,81.97379680847675,1.0530645800010359,163.01
38,False,False,std,50,8,4,,500,entropy,98.2334096206947,0.16871564246347556,82.46842982577213,1.423082903948234,162.55
