,test_season,first_games,train_seasons,acc_train,acc_test
0,2017,100,[2016],99.92481203007519,61.65670367207515
1,2017,200,[2016],99.93006993006993,65.07936507936508
2,2017,400,[2016],100.0,68.08266360505166
3,2017,800,[2016],99.95073891625616,75.79617834394905
4,2018,100,[2017],100.0,64.21861656703672
5,2018,200,[2017],100.0,65.359477124183
6,2018,400,[2017],99.94015559545183,68.42709529276694
7,2018,800,[2017],100.0,73.03609341825901
8,2018,100,"[2017, 2016]",100.0,69.42783945345859
9,2018,200,"[2017, 2016]",99.96297667530544,70.21475256769374
10,2018,400,"[2017, 2016]",99.96552912788694,73.59357060849598
11,2018,800,"[2017, 2016]",100.0,81.31634819532908
12,2019,100,[2018],99.927060539752,61.30346232179226
13,2019,200,[2018],99.93201903467029,65.5328798185941
14,2019,400,[2018],100.0,69.20821114369502
15,2019,800,[2018],99.95171414775471,71.63120567375887
16,2019,100,"[2018, 2017]",100.0,75.66191446028513
17,2019,200,"[2018, 2017]",99.963530269876,74.71655328798185
18,2019,400,"[2018, 2017]",99.93201903467029,78.4457478005865
19,2019,800,"[2018, 2017]",100.0,80.85106382978722
20,2019,100,"[2018, 2017, 2016]",100.0,79.0224032586558
21,2019,200,"[2018, 2017, 2016]",100.0,77.66439909297053
22,2019,400,"[2018, 2017, 2016]",99.95206136145734,81.08504398826979
23,2019,800,"[2018, 2017, 2016]",99.97812773403325,83.33333333333334
